date,tag,team,kind,market,open_ml,close_ml,clv_pts,won,profit_1u,slip_id,slip_odds,slip_result,joint_prob,correlation,line,edge_pct,home,away,pick,pitcher,home_pitcher,away_pitcher,odds,model_prob,edge,qualifies,timestamp,kelly_stake_pct,abbr_home,abbr_away,abbr_pick,c_team_edge,c_pitcher_fip_edge,c_pitcher_era_edge,c_pitcher_whip_edge,c_pitcher_k9_edge,c_offense_edge,c_bullpen_edge,c_season_form_edge,c_h2h_edge,c_weather_edge,c_rest_edge,c_lineup_edge,c_injury_edge,c_fatigue_edge,slip_leg_num,slip_leg_count
2026-06-18,me,WAS Nationals,team,Moneyline,,,,,,3 Pick SGP (+350) #4,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Zack Littell,prop,3+ Strikeouts Thrown,,,,,,3 Pick SGP (+350) #4,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Total,total,Over 10.5,,,,,,3 Pick SGP (+350) #4,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,JR Ritchie,prop,3+ Strikeouts Thrown,,,,,,2 Pick SGP (-105) #7,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Atlanta Braves,team,Moneyline,,,,,,2 Pick SGP (-105) #7,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,PIT Pirates,team,Moneyline,,,,,,2 Pick SGP (+136) #8,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Braxton Ashcraft,prop,5+ Strikeouts Thrown,,,,,,2 Pick SGP (+136) #8,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Seattle Mariners,team,Moneyline,,,,1,0.909,2 Pick SGP (-105) #9,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,George Kirby,prop,5+ Strikeouts Thrown,,,,,,2 Pick SGP (-105) #9,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,WAS Nationals,team,Moneyline,,,,1,,2 Pick SGP (-104) #1,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
