date,tag,team,kind,market,open_ml,close_ml,clv_pts,won,profit_1u,slip_id,slip_odds,slip_result,joint_prob,correlation,line,edge_pct,home,away,pick,pitcher,home_pitcher,away_pitcher,odds,model_prob,edge,qualifies,timestamp,kelly_stake_pct,abbr_home,abbr_away,abbr_pick,c_team_edge,c_pitcher_fip_edge,c_pitcher_era_edge,c_pitcher_whip_edge,c_pitcher_k9_edge,c_offense_edge,c_bullpen_edge,c_season_form_edge,c_h2h_edge,c_weather_edge,c_rest_edge,c_lineup_edge,c_injury_edge,c_fatigue_edge,slip_leg_num,slip_leg_count
2026-06-18,me,Boston Red Sox,team,Moneyline,-114.0,,,0,-1.0,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Cleveland Guardians,team,Moneyline,-110.0,,,1,0.909,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Atlanta Braves,team,Moneyline,105.0,,,,,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,HOU Astros,team,Moneyline,100.0,,,,,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,LA Dodgers,team,Moneyline,-205.0,,,,,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,St. Louis Cardinals,team,Moneyline,-103.0,,,0,-1.0,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Athletics,team,Moneyline,-199.0,,,1,0.503,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,CHI Cubs,team,Moneyline,113.0,,,,,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,TB Rays,team,Moneyline,-122.0,,,,,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Philadelphia Phillies,team,Moneyline,-131.0,,,0,-1.0,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,CIN Reds,team,Moneyline,-109.0,,,,,15 Pick Parlay (+897472) #1,897472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,me,Detroit Tigers,team,Moneyline,-209.0,,,1,0.478,13 Pick Parlay (+138167) #1,138167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,me,New York Yankees,team,Moneyline,-281.0,,,1,0.356,13 Pick Parlay (+138167) #1,138167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
